aggregate_trade_id,price,quantity,first_trade_id,last_trade_id,timestamp,buyer_is_maker,best_price_match
54332033,"0.31910000","0.00600000",70889271,70889271,1772815068706,true,true
54332034,"0.31920000","0.00500000",70889272,70889272,1772815093256,false,true
54332035,"0.31890000","0.59400000",70889273,70889273,1772815111432,true,true
54332036,"0.31890000","0.97400000",70889274,70889274,1772815111439,true,true
54332037,"0.31880000","0.59400000",70889275,70889275,1772815111501,true,true
54332038,"0.31880000","0.12000000",70889276,70889276,1772815112571,true,true
54332039,"0.31880000","0.08000000",70889277,70889277,1772815113046,true,true
54332040,"0.31880000","0.07200000",70889278,70889278,1772815113053,true,true
54332041,"0.31880000","0.04000000",70889279,70889279,1772815113061,true,true
54332042,"0.31880000","0.08000000",70889280,70889280,1772815113072,true,true
54332043,"0.31880000","0.08000000",70889281,70889281,1772815113320,true,true
54332044,"0.31880000","0.15200000",70889282,70889282,1772815113554,true,true
54332045,"0.31880000","0.35000000",70889283,70889283,1772815117417,true,true
54332046,"0.31870000","0.41500000",70889284,70889284,1772815129042,true,true
54332047,"0.31870000","0.46000000",70889285,70889285,1772815129286,true,true
54332048,"0.31870000","0.41500000",70889286,70889286,1772815129294,true,true
54332049,"0.31870000","0.04100000",70889287,70889287,1772815129655,true,true
54332050,"0.31870000","0.04000000",70889288,70889288,1772815129877,true,true
54332051,"0.31870000","0.08000000",70889289,70889289,1772815129885,true,true
54332052,"0.31870000","0.13200000",70889290,70889292,1772815129932,true,true
54332053,"0.31890000","0.07700000",70889293,70889293,1772815161166,false,true
54332054,"0.31880000","0.02900000",70889294,70889294,1772815173662,true,true
54332055,"0.31890000","0.02000000",70889295,70889295,1772815191954,false,true
54332056,"0.31870000","0.10000000",70889296,70889296,1772815200556,true,true
54332057,"0.31890000","0.56700000",70889297,70889297,1772815218019,false,true
54332058,"0.31890000","0.98200000",70889298,70889298,1772815273228,false,true
54332059,"0.31900000","0.08300000",70889299,70889299,1772815295728,false,true
54332060,"0.31900000","0.04400000",70889300,70889300,1772815296219,false,true
54332061,"0.31900000","1.26500000",70889301,70889301,1772815296226,false,true
54332062,"0.31900000","0.17600000",70889302,70889302,1772815296242,false,true
54332063,"0.31910000","0.05200000",70889303,70889303,1772815301256,false,true
54332064,"0.31910000","0.04000000",70889304,70889304,1772815310889,false,true
54332065,"0.31910000","0.10300000",70889305,70889305,1772815321521,false,true
54332066,"0.31910000","1.32400000",70889306,70889306,1772815321529,false,true
54332067,"0.31910000","0.04900000",70889307,70889307,1772815321535,false,true
54332068,"0.31920000","0.00700000",70889308,70889308,1772815323803,false,true
54332069,"0.31920000","0.00700000",70889309,70889309,1772815324191,false,true
54332070,"0.31920000","0.00700000",70889310,70889310,1772815325798,false,true
54332071,"0.31920000","0.00700000",70889311,70889311,1772815329265,false,true
54332072,"0.31920000","0.04600000",70889312,70889312,1772815330255,false,true
54332073,"0.31920000","0.04000000",70889313,70889313,1772815330288,false,true
54332074,"0.31920000","0.08000000",70889314,70889314,1772815330426,false,true
54332075,"0.31920000","0.06300000",70889315,70889315,1772815337837,false,true
54332076,"0.31920000","0.39600000",70889316,70889316,1772815337844,false,true
54332077,"0.31920000","0.75300000",70889317,70889317,1772815337850,false,true
54332078,"0.31920000","0.15600000",70889318,70889318,1772815337856,false,true
54332079,"0.31920000","0.13600000",70889319,70889319,1772815338370,true,true
54332080,"0.31920000","0.04200000",70889320,70889320,1772815399167,true,true
54332081,"0.31920000","0.01000000",70889321,70889321,1772815409078,true,true
54332082,"0.31910000","0.01000000",70889322,70889322,1772815427519,true,true
54332083,"0.31910000","0.07000000",70889323,70889323,1772815437745,true,true
54332084,"0.31920000","0.01000000",70889324,70889324,1772815459462,true,true
54332085,"0.31930000","0.05700000",70889325,70889325,1772815463860,false,true
54332086,"0.31930000","0.41500000",70889326,70889326,1772815464183,false,true
54332087,"0.31930000","1.09500000",70889327,70889327,1772815464337,false,true
54332088,"0.31930000","0.07000000",70889328,70889328,1772815469565,true,true
54332089,"0.31930000","0.19900000",70889329,70889329,1772815474118,true,true
54332090,"0.31930000","0.03900000",70889330,70889330,1772815500589,false,true
54332091,"0.31910000","1.56700000",70889331,70889331,1772815569408,true,true
54332092,"0.31900000","0.20000000",70889332,70889332,1772815581457,true,true
54332093,"0.31900000","0.08000000",70889333,70889333,1772815581466,true,true
54332094,"0.31900000","1.29600000",70889334,70889335,1772815586968,true,true
54332095,"0.31900000","0.00600000",70889336,70889336,1772815630936,false,true
54332096,"0.31900000","0.00600000",70889337,70889337,1772815639161,false,true
54332097,"0.31910000","0.06400000",70889338,70889338,1772815684324,false,true
54332098,"0.31910000","0.08000000",70889339,70889339,1772815684394,false,true
54332099,"0.31910000","0.16000000",70889340,70889340,1772815684567,false,true
54332100,"0.31910000","0.49100000",70889341,70889341,1772815685071,false,true
54332101,"0.31910000","0.04000000",70889342,70889342,1772815687713,false,true
54332102,"0.31910000","0.41500000",70889343,70889343,1772815687778,false,true
54332103,"0.31910000","0.79300000",70889344,70889344,1772815688008,false,true
54332104,"0.31910000","0.08000000",70889345,70889345,1772815688016,false,true
54332105,"0.31910000","0.41500000",70889346,70889346,1772815688023,false,true
54332106,"0.31910000","0.08000000",70889347,70889347,1772815688030,false,true
54332107,"0.31910000","0.41500000",70889348,70889348,1772815688041,false,true
54332108,"0.31910000","1.33500000",70889349,70889349,1772815688050,false,true
54332109,"0.31910000","0.41500000",70889350,70889350,1772815688982,false,true
54332110,"0.31910000","0.28100000",70889351,70889351,1772815689077,false,true
54332111,"0.31920000","0.02300000",70889352,70889352,1772815692299,false,true
54332112,"0.31920000","0.00400000",70889353,70889353,1772815692357,false,true
54332113,"0.31890000","0.31600000",70889354,70889354,1772815752708,true,true
54332114,"0.31900000","0.31600000",70889355,70889356,1772815756336,false,true
54332115,"0.31910000","0.01100000",70889357,70889357,1772815758545,false,true
54332116,"0.31900000","0.16800000",70889358,70889358,1772815761966,true,true
54332117,"0.31900000","0.14800000",70889359,70889359,1772815762510,false,true
54332118,"0.31910000","0.31600000",70889360,70889361,1772815769137,false,true
54332119,"0.31890000","1.25200000",70889362,70889362,1772815879868,true,true
54332120,"0.31890000","0.01400000",70889363,70889363,1772815889779,false,true
54332121,"0.31880000","5.50100000",70889364,70889367,1772815908777,true,true
54332122,"0.31870000","1.91500000",70889368,70889371,1772815908777,true,true
54332123,"0.31860000","7.86000000",70889372,70889377,1772815908777,true,true
54332124,"0.31880000","0.01400000",70889378,70889378,1772815914763,true,true
54332125,"0.31890000","0.01500000",70889379,70889379,1772815917761,false,true
54332126,"0.31890000","0.12000000",70889380,70889380,1772815922710,false,true
54332127,"0.31890000","0.08000000",70889381,70889382,1772815922717,false,true
